"range","area","pt","brte","nsamp","elev","pgraze","tburn","pgrassf","sppr","wtpr","propwtr","tburn2","hillshade","medwtpcp","medsppcp","medpropwtr"
"Shoshone","Underdown","Mid.Burned.L.2",2,30,2215.5,0,3,0.6,85.34,237.99,0.736059134630254,9,206,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.3",12,30,2223.4,0,3,0.766666666666667,85.34,237.99,0.736059134630254,9,188,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.1",15,30,2228.7,0,3,0.733333333333333,85.34,237.99,0.736059134630254,9,196,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.2",8,30,2234.9,0,3,0.733333333333333,85.34,237.99,0.736059134630254,9,200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.3",14,30,2232.5,0,3,0.8,85.34,237.99,0.736059134630254,9,198,169.17,81.91,0.678473507221412
"Toiyabe","Birch","BI0B1",13,31,1900,1,1,0.476190476190476,46,132,0.741573033707865,1,206,132,60,0.720588235294118
"Toiyabe","Birch","BI0B2",10,31,1920,1,1,0.714285714285714,46,132,0.741573033707865,1,205,132,60,0.720588235294118
"Toiyabe","Birch","BI0B3",18,31,1929,1,1,0.523809523809524,46,132,0.741573033707865,1,208,132,60,0.720588235294118
"Toiyabe","Birch","BI0B4",17,31,1960,1,1,0.428571428571429,46,132,0.741573033707865,1,227,132,60,0.720588235294118
"Toiyabe","Grass Springs","GS01",15,31,2179,0.666666667,2,0.285714285714286,54,160,0.747663551401869,4,183,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS02",0,31,2134,0.666666667,2,0.80952380952381,54,160,0.747663551401869,4,184,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS03",0,31,2085,0.666666667,2,0.19047619047619,54,160,0.747663551401869,4,229,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS04",2,31,2079,0.666666667,2,0.19047619047619,54,160,0.747663551401869,4,220,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS05",7,31,2087,0.666666667,2,0.476190476190476,54,160,0.747663551401869,4,209,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS06",9,31,2108,0.666666667,2,0.571428571428571,54,160,0.747663551401869,4,205,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS07",24,31,2145,0.666666667,2,0.238095238095238,54,160,0.747663551401869,4,190,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS08",18,31,2129,0.666666667,2,0.428571428571429,54,160,0.747663551401869,4,160,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS09",24,31,2078,0.666666667,2,0.0476190476190476,54,160,0.747663551401869,4,207,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS10",5,31,2062,0.666666667,2,0.333333333333333,54,160,0.747663551401869,4,206,159.5,79,0.716134268276847
"Shoshone","Underdown","UN0B1",16,31,2083,1,3,0.571428571428571,40,104,0.722222222222222,9,183,104,60,0.68780487804878
"Shoshone","Underdown","UN0B2",8,31,2129,1,3,0.761904761904762,57,175,0.754310344827586,9,191,175,85,0.728
"Shoshone","Underdown","UN0B3",15,31,2135,1,3,0.285714285714286,57,175,0.754310344827586,9,188,175,85,0.728
"Shoshone","Underdown","UN0B4",18,31,2137,1,3,0.428571428571429,57,175,0.754310344827586,9,206,175,85,0.728
"Shoshone","Underdown","UN0B5",14,31,2231,1,3,0.80952380952381,57,175,0.754310344827586,9,198,175,85,0.728
"Shoshone","Underdown","UN0B6",2,31,2245,1,3,0.80952380952381,57,175,0.754310344827586,9,193,175,85,0.728
"Shoshone","Underdown","UN0B7",1,31,2259,1,3,0.714285714285714,57,175,0.754310344827586,9,203,175,85,0.728
"Toiyabe","Wall","WA0B1",27,31,2174,1,7,0,47,133,0.738888888888889,49,214,133,81,0.695488721804511
"Toiyabe","Wall","WA0B2",30,31,2212,1,7,0.19047619047619,64,183,0.740890688259109,49,172,183,102,0.694623655913978
"Toiyabe","Wall","WA0B3",27,31,2227,1,7,0,64,183,0.740890688259109,49,228,183,102,0.694623655913978
"Toiyabe","Wall","WA0B4",25,30,2263,1,7,0.238095238095238,64,183,0.740890688259109,49,236,183,102,0.694623655913978
"Toiyabe","Wall","WA0B5",24,31,2267,1,7,0.0476190476190476,64,183,0.740890688259109,49,216,183,102,0.694623655913978
"Toiyabe","Wall","WA0B6",25,31,2321,1,7,0.142857142857143,64,183,0.740890688259109,49,190,183,102,0.694623655913978
"Toiyabe","Wall","WA0B7",27,31,2372,1,7,0,64,183,0.740890688259109,49,197,183,102,0.694623655913978
"Toiyabe","Birch","BI0B1",27,31,1900,0.75,2,0.428571428571429,127,132,0.50965250965251,4,206,132,60,0.720588235294118
"Toiyabe","Birch","BI0B2",22,31,1920,0.75,2,0.80952380952381,127,132,0.50965250965251,4,205,132,60,0.720588235294118
"Toiyabe","Birch","BI0B3",26,31,1929,0.75,2,0.285714285714286,127,132,0.50965250965251,4,208,132,60,0.720588235294118
