"range","area","pt","brte","nsamp","elev","pgraze","tburn","tburn2","pgrassf","sppr","wtpr","propwtr","hillshade","medwtpcp","medsppcp","medpropwtr","range_id","area_id","point_id","obs_id"
"Toiyabe","Grass Springs","GSSG10",27,31,-0.451622921862613,0.0315706121459994,-0.317915109397975,0.101070016783527,0.7160107272843,0.638407840245447,1.19317137029349,0.341385041807128,0.0575731056757249,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,46,149
"Toiyabe","Grass Springs","GSSG11",31,31,-0.389469414639132,0.0315706121459994,-0.317915109397975,0.101070016783527,-0.553207904865511,0.638407840245447,1.19317137029349,0.341385041807128,-0.992289409587482,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,47,150
"Toiyabe","Grass Springs","GSSG12",30,31,-0.443853733459678,0.0315706121459994,-0.317915109397975,0.101070016783527,-0.734524852315486,0.638407840245447,1.19317137029349,0.341385041807128,-0.409032456663478,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,48,151
"Shoshone","Underdown","UN02.2",27,31,-0.156393762551082,0.565539673868771,0.75041750754915,0.563126435636279,1.98522935943412,0.297433829449571,1.74461643895247,0.851856533829228,0.990784230354131,-0.29302509283711,0.338670479415808,0.819442334694072,2,4,61,152
"Shoshone","Underdown","UN03.1",28,31,0.309757541625018,0.565539673868771,0.75041750754915,0.563126435636279,0.897327674734275,0.297433829449571,1.74461643895247,0.851856533829228,0.582504363307328,-0.29302509283711,0.338670479415808,0.819442334694072,2,4,62,153
"Shoshone","Underdown","UN03.2",23,31,0.612755889339483,0.565539673868771,-0.0508319551611939,0.00258388766550963,0.53469377983433,0.297433829449571,1.74461643895247,0.851856533829228,0.407527277430127,-0.29302509283711,0.338670479415808,0.819442334694072,2,4,63,154
"Shoshone","Underdown","UN0B1",31,31,-0.653621820338923,0.565539673868771,-0.0508319551611939,0.00258388766550963,2.16654630688409,-0.774198775908899,0.224780030209431,0.995984012695943,-1.16726649546468,-2.60756611230867,-1.24614077478811,-0.972706106869388,2,4,64,155
"Shoshone","Underdown","UN0B2",30,31,-0.296239153803912,0.565539673868771,-0.0508319551611939,0.00258388766550963,1.62259546453417,0.297433829449571,1.74461643895247,0.851856533829228,-0.70066093312548,0.816025812326344,0.596663009169934,1.13462850469514,2,4,65,156
"Shoshone","Underdown","UN0B3",30,31,-0.249624023386302,0.565539673868771,-0.0508319551611939,0.00258388766550963,0.53469377983433,0.297433829449571,1.74461643895247,0.851856533829228,-0.875638019002681,0.816025812326344,0.596663009169934,1.13462850469514,2,4,66,157
"Shoshone","Underdown","UN0B4",31,31,-0.234085646580432,0.565539673868771,-0.0508319551611939,0.00258388766550963,-0.371890957415537,0.297433829449571,1.74461643895247,0.851856533829228,0.174224496260526,0.816025812326344,0.596663009169934,1.13462850469514,2,4,67,158
"Shoshone","Underdown","UN0B5",28,31,0.496218063295458,0.565539673868771,-0.0508319551611939,0.00258388766550963,-0.371890957415537,0.297433829449571,1.74461643895247,0.851856533829228,-0.292381066078677,0.816025812326344,0.596663009169934,1.13462850469514,2,4,68,159
"Shoshone","Underdown","UN0B6",29,31,0.604986700936548,0.565539673868771,-0.0508319551611939,0.00258388766550963,1.07864462218425,0.297433829449571,1.74461643895247,0.851856533829228,-0.584009542540679,0.816025812326344,0.596663009169934,1.13462850469514,2,4,69,160
"Shoshone","Underdown","UN0B7",27,31,0.713755338577638,0.565539673868771,-0.0508319551611939,0.00258388766550963,0.53469377983433,0.297433829449571,1.74461643895247,0.851856533829228,-0.000752589616675449,0.816025812326344,0.596663009169934,1.13462850469514,2,4,70,161
"Toiyabe","Wall","WA03.1",17,31,-0.125317008939342,0.565539673868771,1.01750066178593,1.03530759673481,-0.00925706251559089,0.224367969993312,0.937623655549085,0.498445624461378,-0.0590782849090758,-2.36646808944705,-0.730155715279855,-0.569860460177314,3,5,71,162
"Toiyabe","Wall","WA03.2",29,31,0.263142411207408,0.565539673868771,1.01750066178593,1.03530759673481,-0.371890957415537,0.224367969993312,0.937623655549085,0.498445624461378,1.63236687857053,-1.86016224143764,-0.214170655771604,-0.865504938358246,3,5,72,163
"Toiyabe","Wall","WA04.2",31,31,1.05559962830678,0.565539673868771,1.01750066178593,1.03530759673481,-0.915841799765457,1.22293471589552,2.01361403342026,0.389185159244843,-0.234055370786277,-0.485903511126406,1.8497695822614,-0.61521380665096,3,5,73,164
"Toiyabe","Wall","WA05.1",29,31,1.46736661366233,0.565539673868771,1.01750066178593,1.03530759673481,-0.190574009965566,1.22293471589552,2.01361403342026,0.389185159244843,-0.584009542540679,0.0927317437414829,1.37064059843231,-1.28007351393084,3,5,74,165
"Toiyabe","Wall","WA05.2",29,31,1.91797954103256,0.565539673868771,1.01750066178593,1.03530759673481,-0.734524852315486,1.22293471589552,2.01361403342026,0.389185159244843,1.16576131623133,-0.485903511126406,1.8497695822614,-0.61521380665096,3,5,75,166
"Toiyabe","Wall","WA06.1",22,31,1.84805684540615,0.565539673868771,1.01750066178593,1.03530759673481,-1.09715874721543,1.22293471589552,2.01361403342026,0.389185159244843,1.98232105032494,0.0927317437414829,1.37064059843231,-1.28007351393084,3,5,76,167
"Toiyabe","Wall","WA0B1",31,31,0.0533743243281626,0.565539673868771,1.01750066178593,1.03530759673481,-1.09715874721543,0.224367969993312,0.937623655549085,0.498445624461378,0.640830058599729,-1.20919757971127,0.301814403736648,-0.569860460177314,3,5,77,168
"Toiyabe","Wall","WA0B2",28,31,0.348603483639693,0.565539673868771,1.01750066178593,1.03530759673481,-0.734524852315486,1.22293471589552,2.01361403342026,0.389185159244843,-1.80884914368109,1.20178264890494,1.8497695822614,-0.61521380665096,3,5,78,169
"Toiyabe","Wall","WA0B3",28,31,0.465141309683718,0.565539673868771,1.01750066178593,1.03530759673481,-1.2784756946654,1.22293471589552,2.01361403342026,0.389185159244843,1.45738979269333,1.20178264890494,1.8497695822614,-0.61521380665096,3,5,79,170
"Toiyabe","Wall","WA0B4",27,31,0.744832092189378,0.565539673868771,1.01750066178593,1.03530759673481,-0.553207904865511,1.22293471589552,2.01361403342026,0.389185159244843,1.92399535503254,1.20178264890494,1.8497695822614,-0.61521380665096,3,5,80,171
