"range","area","pt","brte","nsamp","elev","pgraze","pgrassf","sppr","propwtr","hillshade","medwtpcp","medpropwtr"
"Shoshone","Riley","RI04.2",0,31,2412,1,0.904761904761905,85,0.736842105263158,224,125,0.721988165680473
"Shoshone","Riley","RI05.1",7,31,2483,1,0.714285714285714,108,0.763676148796499,210,198,0.733132379073139
"Shoshone","Riley","RI05.2",0,31,2545,1,0.761904761904762,85,0.736842105263158,204,125,0.721988165680473
"Monitor","Ryegrass","RY05",1,31,2337,1,0.619047619047619,79,0.724738675958188,197,135,0.730088495575221
"Toiyabe","Stewart","SW00.1",0,31,2605,0,0.952380952380952,102,0.737113402061856,148,160.5,0.714001770338778
"Toiyabe","Stewart","SW03.2",0,31,2897,0,0.666666666666667,143,0.745551601423488,199,238.5,0.706870426491241
"Toiyabe","Stewart","SW05.2",0,31,3067,0,0.761904761904762,143,0.745551601423488,250,238.5,0.706870426491241
"Toiyabe","Stewart","SW06.1",0,31,3162,0,0.952380952380952,142,0.744604316546763,242,235,0.703159862509799
"Shoshone","Underdown","UN01.1",4,24,2027,1,0.142857142857143,64,0.68780487804878,219,70,0.679268292682927
"Shoshone","Underdown","UN02.1",5,31,2114,1,0.761904761904762,64,0.68780487804878,195,70,0.679268292682927
"Shoshone","Underdown","UN04.1",0,31,2296,1,0.80952380952381,85,0.736842105263158,208,125,0.721988165680473
"Shoshone","Underdown","UN04.2",2,31,2365,1,0.714285714285714,108,0.763676148796499,209,198,0.733132379073139
"Shoshone","Underdown","UN07.1",0,31,2634,1,1,108,0.763676148796499,190,198,0.733132379073139
"Shoshone","Underdown","UN07.2",1,31,2657,1,0.857142857142857,108,0.763676148796499,219,198,0.733132379073139
"Monitor","Wallace","WL01",15,24,2134,1,0.857142857142857,61,0.714953271028037,212,94,0.728813559322034
"Monitor","Wallace","WL02",1,24,2155,1,0.5,61,0.714953271028037,235,94,0.728813559322034
"Monitor","Wallace","WL04",3,31,2204,1,0.333333333333333,74,0.726937269372694,220,128,0.737556561085973
"Monitor","Wallace","WL05",1,24,2313,1,0.642857142857143,74,0.726937269372694,174,128,0.737556561085973
"Monitor","Wallace","WL06",0,31,2327,1,0.523809523809524,74,0.726937269372694,226,128,0.737556561085973
"Monitor","Wallace","WL07",2,31,2347,1,0.571428571428571,74,0.726937269372694,226,128,0.737556561085973
"Monitor","Wallace","WL08",3,31,2364,1,0.714285714285714,74,0.726937269372694,190,145.5,0.743778280542986
"Monitor","Wallace","WL09",3,31,2423,1,0.523809523809524,82,0.73202614379085,218,146,0.735537190082645
"Toiyabe","Washington","WS03.3",0,31,2395,1,0.523809523809524,133,0.745210727969349,225,218,0.729096989966555
"Toiyabe","Washington","WS04.1",2,24,2443,1,0.285714285714286,133,0.745210727969349,208,218,0.729096989966555
"Toiyabe","Washington","WS04.2",13,24,2485,1,0.214285714285714,133,0.745210727969349,231,218,0.729096989966555
"Toiyabe","Washington","WS04.3",0,31,2503,1,0.523809523809524,133,0.745210727969349,238,218,0.729096989966555
"Toiyabe","Washington","WS05.1",11,31,2539,1,0.714285714285714,133,0.745210727969349,223,218,0.729096989966555
"Toiyabe","Washington","WS05.2",1,24,2570,1,0.714285714285714,133,0.745210727969349,222,218,0.729096989966555
"Toiyabe","Washington","WS05.3",0,31,2585,1,0.904761904761905,133,0.745210727969349,219,218,0.729096989966555
"Shoshone","Underdown","High.Control.M.1",0,30,2362.5,0,0.8,108.2,0.763471417641272,196,239.005,0.704301660232132
"Shoshone","Underdown","Low.Control.M.2",0,30,2060.9,0,0.766666666666667,63.5,0.689835392956577,187,106.805,0.63747088796765
"Shoshone","Underdown","Low.Control.M.3",0,30,2062.5,0,0.666666666666667,63.5,0.689835392956577,188,106.805,0.63747088796765
"Shoshone","Underdown","Mid.Control.E.2",1,30,2206.8,0,0.8,85.34,0.736059134630254,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.3",0,30,2201.3,0,0.7,85.34,0.736059134630254,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.1",1,30,2191.7,0,0.7,85.34,0.736059134630254,203,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.3",1,30,2179.2,0,0.766666666666667,85.34,0.736059134630254,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.1",4,30,2182.8,0,0.733333333333333,85.34,0.736059134630254,197,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.2",0,30,2206.1,0,0.833333333333333,85.34,0.736059134630254,202,169.17,0.678473507221412
"Monitor","Dobbin East","DE05.3",0,21,2546,0,0.238095238095238,84,0.685393258426966,238,175.5,0.704235090751945
"Monitor","Dobbin East","DE06.1",3,21,2486,0,0.476190476190476,84,0.685393258426966,233,175.5,0.704235090751945
"Monitor","Dobbin West","DW01.2",1,21,2311,0,0.619047619047619,74,0.668161434977579,199,142,0.694080717488789
"Monitor","Barley","BL01",0,31,2249,1,0.523809523809524,34,0.784810126582278,214,110,0.735294117647059
