"range","area","pt","brte","nsamp","elev","burn","pgraze","pgrassf","sppr","wtpr","propwtr","hillshade","medwtpcp","medpropwtr"
"Shoshone","Underdown","High.Control.M.1",1,50,2362.5,0,0,1,82.8,262.88,0.76047211293682,196,239.005,0.704301660232132
"Shoshone","Underdown","Low.Burned.M.1",2,50,2092.9,0,0,0.94,35.56,117.09,0.767048804454635,158,106.805,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.2",0,50,2092.2,0,0,0.96,35.56,117.09,0.767048804454635,176,106.805,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.3",12,50,2085.7,0,0,0.96,35.56,117.09,0.767048804454635,183,106.805,0.63747088796765
"Shoshone","Underdown","Low.Control.M.2",0,50,2060.9,0,0,1,35.56,117.09,0.767048804454635,187,106.805,0.63747088796765
"Shoshone","Underdown","Low.Control.M.3",1,50,2062.5,0,0,0.92,35.56,117.09,0.767048804454635,188,106.805,0.63747088796765
"Shoshone","Underdown","Mid.Burned.E.1",10,50,2234.2,0,0,0.98,57.4,187.71,0.765819428011913,198,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.2",2,50,2239.7,0,0,1,57.4,187.71,0.765819428011913,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.3",0,50,2236.9,0,0,1,57.4,187.71,0.765819428011913,195,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.1",6,50,2215.5,0,0,0.96,57.4,187.71,0.765819428011913,193,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.2",0,50,2215.5,0,0,0.98,57.4,187.71,0.765819428011913,206,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.3",2,50,2223.4,0,0,1,57.4,187.71,0.765819428011913,188,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.1",0,50,2228.7,0,0,0.98,57.4,187.71,0.765819428011913,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.2",1,50,2234.9,0,0,1,57.4,187.71,0.765819428011913,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.3",0,50,2232.5,0,0,0.98,57.4,187.71,0.765819428011913,198,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.2",0,50,2206.8,0,0,1,57.4,187.71,0.765819428011913,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.3",1,50,2201.3,0,0,1,57.4,187.71,0.765819428011913,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.1",0,50,2191.7,0,0,0.98,57.4,187.71,0.765819428011913,203,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.3",5,50,2179.2,0,0,0.94,57.4,187.71,0.765819428011913,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.1",8,50,2182.8,0,0,1,57.4,187.71,0.765819428011913,197,169.17,0.678473507221412
