"range","area","pt","yr","brte","nsamp","mtype","elev","burn","graze","pgraze","igrassf","tburn","pgrassf","sppr","wtpr"
"Toiyabe","Summit","SU01.1",2004,NA,NA,1,1989,0,NA,NA,NA,NA,0.380952380952381,58,92
"Toiyabe","Summit","SU01.2",2004,NA,NA,1,2072,0,NA,NA,NA,NA,0.523809523809524,58,92
"Toiyabe","Summit","SU02.1",2004,NA,NA,1,2125,0,NA,NA,NA,NA,0.619047619047619,58,92
"Toiyabe","Summit","SU02.2",2004,NA,NA,1,2146,0,NA,NA,NA,NA,0.380952380952381,58,92
"Toiyabe","Summit","SU03.1",2004,NA,NA,1,2280,0,NA,NA,NA,NA,0.0952380952380952,58,92
"Toiyabe","Summit","SU03.2",2004,NA,NA,1,2311,0,NA,NA,NA,NA,0.19047619047619,58,92
"Toiyabe","Summit","SU04.1",2004,NA,NA,1,2350,0,NA,NA,NA,NA,0.523809523809524,58,92
"Toiyabe","Summit","SU04.2",2004,NA,NA,1,2409,0,NA,NA,NA,NA,0.4,115,203
"Toiyabe","Summit","SU05.1",2004,NA,NA,1,2468,0,NA,NA,NA,NA,0.571428571428571,115,200
"Toiyabe","Summit","SU05.2",2004,NA,NA,1,2523,0,NA,NA,NA,NA,0.285714285714286,115,200
"Toiyabe","Summit","SU06.1",2004,NA,NA,1,2575,0,NA,NA,NA,NA,0.476190476190476,115,200
"Toiyabe","Summit","SU06.2",2004,NA,NA,1,2587,0,NA,NA,NA,NA,0.571428571428571,115,200
"Toiyabe","Stewart","SW00.1",2004,NA,NA,1,2605,0,NA,NA,NA,NA,0.714285714285714,94,161
"Toiyabe","Stewart","SW01.1",2004,NA,NA,1,2635,0,NA,NA,NA,NA,0.857142857142857,94,161
"Toiyabe","Stewart","SW01.2",2004,NA,NA,1,2667,0,NA,NA,NA,NA,0.857142857142857,94,161
"Toiyabe","Stewart","SW02.1",2004,NA,NA,1,2731,0,NA,NA,NA,NA,1,138,239
"Toiyabe","Stewart","SW02.2",2004,NA,NA,1,2795,0,NA,NA,NA,NA,0.857142857142857,138,239
"Toiyabe","Stewart","SW03.1",2004,NA,NA,1,2854,0,NA,NA,NA,NA,1,138,239
"Toiyabe","Stewart","SW03.2",2004,NA,NA,1,2897,0,NA,NA,NA,NA,1,138,239
"Toiyabe","Stewart","SW04.1",2004,NA,NA,1,2950,0,NA,NA,NA,NA,0.714285714285714,138,239
"Toiyabe","Stewart","SW05.1",2004,NA,NA,1,3017,0,NA,NA,NA,NA,0.666666666666667,138,239
"Toiyabe","Stewart","SW05.2",2004,NA,NA,1,3067,0,NA,NA,NA,NA,0.857142857142857,138,239
"Toiyabe","Stewart","SW06.1",2004,NA,NA,1,3162,0,NA,NA,NA,NA,0.476190476190476,138,234
"Toiyabe","Stewart","SW06.2",2004,NA,NA,1,3219,0,NA,NA,NA,NA,0.904761904761905,138,234
"Shoshone","Underdown","UN01.1",2004,NA,NA,1,2027,0,NA,NA,NA,NA,0.238095238095238,50,70
"Shoshone","Underdown","UN01.2",2004,NA,NA,1,2062,0,NA,NA,NA,NA,0.476190476190476,50,70
"Shoshone","Underdown","UN02.1",2004,NA,NA,1,2114,0,NA,NA,NA,NA,0.80952380952381,50,70
"Shoshone","Underdown","UN02.2",2004,NA,NA,1,2147,1,NA,NA,NA,2,0.80952380952381,78,129
"Shoshone","Underdown","UN03.1",2004,NA,NA,1,2207,1,NA,NA,NA,2,0.523809523809524,78,129
"Shoshone","Underdown","UN03.2",2004,NA,NA,1,2246,1,NA,NA,NA,NA,0.238095238095238,78,129
"Shoshone","Underdown","UN04.1",2004,NA,NA,1,2296,0,NA,NA,NA,NA,1,78,129
"Shoshone","Underdown","UN04.2",2004,NA,NA,1,2365,0,NA,NA,NA,NA,0.761904761904762,108,198
"Shoshone","Underdown","UN05.1",2004,NA,NA,1,2424,0,NA,NA,NA,NA,0.714285714285714,108,198
"Shoshone","Underdown","UN05.2",2004,NA,NA,1,2506,0,NA,NA,NA,NA,0.857142857142857,108,198
"Shoshone","Underdown","UN06.1",2004,NA,NA,1,2569,0,NA,NA,NA,NA,0.857142857142857,108,198
"Shoshone","Underdown","UN06.2",2004,NA,NA,1,2591,0,NA,NA,NA,NA,0.80952380952381,108,198
"Shoshone","Underdown","UN07.1",2004,NA,NA,1,2634,0,NA,NA,NA,NA,0.952380952380952,108,198
"Shoshone","Underdown","UN07.2",2004,NA,NA,1,2657,0,NA,NA,NA,NA,0.80952380952381,108,198
"Toiyabe","Wall","WA01.1",2004,NA,NA,1,1938,0,NA,NA,NA,NA,0.238095238095238,34,67
"Toiyabe","Wall","WA01.2",2004,NA,NA,1,1984,0,NA,NA,NA,NA,0.380952380952381,63,102
"Toiyabe","Wall","WA02.1",2004,NA,NA,1,2037,0,NA,NA,NA,NA,0.142857142857143,63,102
"Toiyabe","Wall","WA02.2",2004,NA,NA,1,2087,0,NA,NA,NA,NA,0.238095238095238,67,108
"Toiyabe","Wall","WA03.1",2004,NA,NA,1,2151,1,NA,NA,NA,3,0.285714285714286,67,108
"Toiyabe","Wall","WA03.2",2004,NA,NA,1,2201,1,NA,NA,NA,3,0.714285714285714,67,108
"Toiyabe","Wall","WA04.1",2004,NA,NA,1,2260,0,NA,NA,NA,NA,0.238095238095238,89,147
"Toiyabe","Wall","WA04.2",2004,NA,NA,1,2303,1,NA,NA,NA,3,0.857142857142857,89,147
"Toiyabe","Wall","WA05.1",2004,NA,NA,1,2356,1,NA,NA,NA,3,0.619047619047619,89,147
"Toiyabe","Wall","WA05.2",2004,NA,NA,1,2414,1,NA,NA,NA,3,0.619047619047619,89,147
"Toiyabe","Wall","WA06.1",2004,NA,NA,1,2405,1,NA,NA,NA,3,0.523809523809524,89,147
"Shoshone","Underdown","UN0B1",2005,NA,NA,1,2083,1,NA,NA,0.952380952380952,0,NA,91,182
"Shoshone","Underdown","UN0B2",2005,NA,NA,1,2129,1,NA,NA,0.714285714285714,0,NA,157,274
"Shoshone","Underdown","UN0B3",2005,NA,NA,1,2135,1,NA,NA,0.19047619047619,0,NA,157,274
"Shoshone","Underdown","UN0B4",2005,NA,NA,1,2137,1,NA,NA,0.0476190476190476,0,NA,157,274
"Shoshone","Underdown","UN0B5",2005,NA,NA,1,2231,1,NA,NA,0.857142857142857,0,NA,157,274
"Shoshone","Underdown","UN0B6",2005,NA,NA,1,2245,1,NA,NA,0.238095238095238,0,NA,157,274
"Shoshone","Underdown","UN0B7",2005,NA,NA,1,2259,1,NA,NA,0.523809523809524,0,NA,157,274
"Toiyabe","Wall","WA0B1",2005,NA,NA,1,2174,1,NA,NA,NA,4,0.428571428571429,130,272
"Toiyabe","Wall","WA0B2",2005,NA,NA,1,2212,1,NA,NA,NA,4,0.380952380952381,181,335
"Toiyabe","Wall","WA0B3",2005,NA,NA,1,2227,1,NA,NA,NA,4,0.428571428571429,181,335
"Toiyabe","Wall","WA0B4",2005,NA,NA,1,2263,1,NA,NA,NA,4,0.80952380952381,181,335
"Toiyabe","Wall","WA0B5",2005,NA,NA,1,2267,1,NA,NA,NA,4,0.571428571428571,181,335
"Toiyabe","Wall","WA0B6",2005,NA,NA,1,2321,1,NA,NA,NA,4,0.904761904761905,181,335
"Toiyabe","Wall","WA0B7",2005,NA,NA,1,2372,1,NA,NA,NA,4,0.857142857142857,181,335
"Monitor","Allison","AL14",2006,0,31,1,2285,0,1,1,NA,NA,0.666666666666667,70,180
"Monitor","Allison","AL15",2006,1,31,1,2325,0,1,1,NA,NA,0.761904761904762,77,202
"Monitor","Allison","AL16",2006,0,31,1,2394,0,1,1,NA,NA,0.476190476190476,77,202
"Monitor","Allison","AL17",2006,0,31,1,2487,0,1,1,NA,NA,0.666666666666667,77,202
"Monitor","Allison","AL18",2006,0,31,1,2397,0,1,1,NA,NA,0.571428571428571,77,202
"Monitor","Allison","AL19",2006,0,24,1,2280,0,1,1,NA,NA,0.785714285714286,67,170
"Monitor","Allison","AL20",2006,4,31,1,2227,0,1,1,NA,NA,0.523809523809524,67,170
"Monitor","Allison","AL21",2006,0,31,1,2209,0,1,1,NA,NA,0.761904761904762,67,170
"Monitor","Allison","AL22",2006,0,31,1,2179,0,1,1,NA,NA,0.333333333333333,67,170
"Toquima","Antone","AN01.1",2006,0,10,1,2403,0,1,1,NA,NA,NA,103,299
"Toquima","Antone","AN01.2",2006,1,10,1,2425,0,1,1,NA,NA,NA,103,299
"Toquima","Antone","AN01.3",2006,0,10,1,2450,0,1,1,NA,NA,NA,103,299
"Toquima","Antone","AN02.1",2006,1,10,1,2486,0,1,1,NA,NA,NA,103,299
"Toquima","Antone","AN02.2",2006,9,10,1,2518,0,1,1,NA,NA,NA,103,299
"Toquima","Antone","AN03.1",2006,4,10,1,2604,0,1,1,NA,NA,NA,103,299
"Toquima","Antone","AN03.2",2006,0,10,1,2658,0,1,1,NA,NA,NA,130,377
"Toquima","Antone","AN04.1",2006,0,10,1,2735,0,1,1,NA,NA,NA,130,377
"Shoshone","Barrett","BA01.1",2006,5,10,1,2156,0,1,1,NA,NA,NA,77,204
"Shoshone","Barrett","BA01.2",2006,1,10,1,2180,0,1,1,NA,NA,NA,77,204
"Shoshone","Barrett","BA02.1",2006,0,10,1,2263,0,1,1,NA,NA,NA,77,204
"Shoshone","Barrett","BA02.2",2006,1,10,1,2282,0,1,1,NA,NA,NA,77,204
"Shoshone","Barrett","BA03.1",2006,1,10,1,2364,0,1,1,NA,NA,NA,95,287
"Shoshone","Barrett","BA03.2",2006,2,10,1,2395,0,1,1,NA,NA,NA,95,287
"Shoshone","Barrett","BA04.1",2006,1,10,1,2455,0,1,1,NA,NA,NA,95,287
"Shoshone","Barrett","BA04.2",2006,0,10,1,2468,0,1,1,NA,NA,NA,95,287
"Shoshone","Barrett","BA05.1",2006,3,10,1,2518,0,1,1,NA,NA,NA,95,287
"Shoshone","Barrett","BA05.2",2006,1,10,1,2554,0,1,1,NA,NA,NA,95,287
"Shoshone","Barrett","BA06.1",2006,1,10,1,2640,0,1,1,NA,NA,NA,88,260
"Shoshone","Barrett","BA06.2",2006,4,10,1,2679,0,1,1,NA,NA,NA,88,260
"Shoshone","Becker","BE01.1",2006,4,10,1,2166,0,1,1,NA,NA,NA,63,141
"Shoshone","Becker","BE01.2",2006,1,10,1,2188,0,1,1,NA,NA,NA,63,141
"Shoshone","Becker","BE02.1",2006,2,10,1,2241,0,1,1,NA,NA,NA,90,273
"Shoshone","Becker","BE02.2",2006,1,10,1,2248,0,1,1,NA,NA,NA,90,273
"Shoshone","Becker","BE03.1",2006,0,10,1,2359,0,1,1,NA,NA,NA,90,273
