"range","area","pt","hillshade","medwtpcp","medsppcp","medpropwtr"
"Toiyabe","Birch","BISG07",204,164,60,0.720588235294118
"Toiyabe","Birch","BISG08",206,164,60,0.720588235294118
"Monitor","Barley","BL01",214,110,36,0.735294117647059
"Monitor","Barley","BL02",247,110,36,0.735294117647059
"Monitor","Barley","BL03",210,110,36,0.735294117647059
"Monitor","Barley","BL04",214,165,55,0.744186046511628
"Monitor","Barley","BL05",218,165,55,0.744186046511628
"Monitor","Barley","BL06",215,165,55,0.744186046511628
"Monitor","Barley","BL07",217,165,55,0.744186046511628
"Monitor","Barley","BL08",221,165,55,0.744186046511628
"Monitor","Barley","BL09",220,165,55,0.744186046511628
"Monitor","Barley","BL10",209,165,55,0.744186046511628
"Monitor","Barley","BL11",205,165,55,0.744186046511628
"Monitor","Barley","BL12",229,216,69,0.756183745583039
"Monitor","Barley","BL13",178,216,69,0.756183745583039
"Monitor","Barley","BL14",222,216,69,0.756183745583039
"Monitor","Barley","BL15",246,216,69,0.756183745583039
"Monitor","Barley","BL16",190,215,64.5,0.776615858031372
"Monitor","Charnoc North","CBN01",212,127.5,50,0.74320987654321
"Monitor","Charnoc North","CBN02",245,127.5,50,0.74320987654321
"Monitor","Charnoc North","CBN04",226,127.5,50,0.74320987654321
"Monitor","Charnoc North","CBN05",231,127.5,50,0.74320987654321
"Monitor","Charnoc North","CBNSG01",225,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG02",212,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG03",220,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG04",212,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG05",211,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG06",209,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG07",209,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG08",197,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG09",226,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG10",230,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG11",223,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG12",219,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG13",231,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG14",235,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG15",231,165,60,0.733333333333333
"Monitor","Charnoc North","CBNSG16",233,165,60,0.733333333333333
"Monitor","Charnoc South","CBS01",202,124.5,49,0.743098115585085
"Monitor","Charnoc South","CBS02",201,124.5,49,0.743098115585085
"Monitor","Charnoc South","CBS03",208,124.5,49,0.743098115585085
"Monitor","Charnoc South","CBS04",211,124.5,49,0.743098115585085
"Monitor","Charnoc South","CBS05",190,124.5,49,0.743098115585085
"Monitor","Charnoc South","CBSSG01",202,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG02",191,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG03",194,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG04",193,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG05",197,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG06",191,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG07",197,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG08",193,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG09",201,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG10",217,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG11",196,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG12",215,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG13",211,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG14",205,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG15",208,162,59,0.733031674208145
"Monitor","Charnoc South","CBSSG16",205,162,59,0.733031674208145
"Monitor","Dobbin East","DE05.1",237,210,88.5,0.714548494983278
"Monitor","Dobbin East","DE05.2",220,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE05.3",238,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE06.1",233,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE06.2",186,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE06.3",237,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE07.1",194,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE07.2",221,175.5,78,0.704235090751945
"Monitor","Dobbin East","DE07.3",216,175.5,78,0.704235090751945
"Monitor","Dobbin West","DW01.1",216,94,50,0.683809523809524
"Monitor","Dobbin West","DW01.2",199,142,68.5,0.694080717488789
"Monitor","Dobbin West","DW02.1",216,142,68.5,0.694080717488789
"Monitor","Dobbin West","DW02.2",200,142,68.5,0.694080717488789
"Monitor","Dobbin West","DW03.1",235,142,68.5,0.694080717488789
"Monitor","Dobbin West","DW03.2",196,142,68.5,0.694080717488789
"Monitor","Dobbin West","DW03.3",226,210,88.5,0.714548494983278
"Monitor","Dobbin West","DW04.1",224,210,88.5,0.714548494983278
"Monitor","Dobbin West","DW04.2",221,210,88.5,0.714548494983278
"Monitor","Elkhorn","EH01",202,149,65,0.714912280701754
"Monitor","Elkhorn","EH02",215,149,65,0.714912280701754
"Monitor","Elkhorn","EH03",180,149,65,0.714912280701754
"Monitor","Elkhorn","EH04",240,149,65,0.714912280701754
"Monitor","Elkhorn","EHSG01",207,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG02",202,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG03",197,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG04",199,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG05",205,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG06",202,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG07",213,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG08",215,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG09",231,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG10",242,163,65,0.714912280701754
"Toiyabe","Grass Springs","GS01",183,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS02",184,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS03",229,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS04",220,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS05",209,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS06",205,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS07",190,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS08",160,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS09",207,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS10",206,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GSSG01",207,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG02",202,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG03",199,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG04",204,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG05",201,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG06",203,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG07",201,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG08",200,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG09",187,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG10",204,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG11",186,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG12",196,182,73,0.713725490196078
"Toiyabe","Jett","JE01.1",213,73,30,0.745762711864407
"Toiyabe","Jett","JE01.2",201,73,30,0.745762711864407
"Toiyabe","Jett","JE01.3",200,73,30,0.745762711864407
"Toiyabe","Jett","JE02.1",208,166,100,0.718274111675127
"Toiyabe","Jett","JE02.2",219,166,100,0.718274111675127
"Toiyabe","Jett","JE02.3",220,166,100,0.718274111675127
"Toiyabe","Jett","JE03.1",222,166,100,0.718274111675127
"Toiyabe","Jett","JE03.2",196,166,100,0.718274111675127
