"range","area","pt","brte","nsamp","elev","pgraze","pgrassf","sppr","propwtr","hillshade","medwtpcp","medpropwtr","range_id","area_id","point_id","obs_id"
"Shoshone","Underdown","High.Control.M.1",1,50,0.264638959571827,-1.51107470229179,1.69372157347607,0.664738454778936,0.666360692484651,-0.45856476135831,1.87756917757122,-0.362266249058538,2,22,56,1
"Shoshone","Underdown","Low.Burned.M.1",2,50,-1.09319195982797,-1.51107470229179,1.47819965825449,-0.983665068211851,0.769745460092881,-2.0802585172941,-0.946404442540648,-2.85776552725949,2,22,66,2
"Shoshone","Underdown","Low.Burned.M.2",0,50,-1.09671748521217,-1.51107470229179,1.55004029666168,-0.983665068211851,0.769745460092881,-1.3120877907982,-0.946404442540648,-2.85776552725949,2,22,67,3
"Shoshone","Underdown","Low.Burned.M.3",12,50,-1.12945450663687,-1.51107470229179,1.55004029666168,-0.983665068211851,0.769745460092881,-1.01335473049424,-0.946404442540648,-2.85776552725949,2,22,68,4
"Shoshone","Underdown","Low.Control.M.2",0,50,-1.25435883453418,-1.51107470229179,1.69372157347607,-0.983665068211851,0.769745460092881,-0.842650124606259,-0.946404442540648,-2.85776552725949,2,22,69,5
"Shoshone","Underdown","Low.Control.M.3",1,50,-1.24630049079887,-1.51107470229179,1.40635901984729,-0.983665068211851,0.769745460092881,-0.799973973134265,-0.946404442540648,-2.85776552725949,2,22,70,6
"Shoshone","Underdown","Mid.Burned.E.1",10,50,-0.381539478703375,-1.51107470229179,1.62188093506888,-0.221575039801208,0.750419816265809,-0.373212458414321,0.385797636266284,-1.32670426184162,2,22,77,7
"Shoshone","Underdown","Mid.Burned.E.2",2,50,-0.353838922113246,-1.51107470229179,1.69372157347607,-0.221575039801208,0.750419816265809,-0.287860155470332,0.385797636266284,-1.32670426184162,2,22,78,8
"Shoshone","Underdown","Mid.Burned.E.3",0,50,-0.367941023650038,-1.51107470229179,1.69372157347607,-0.221575039801208,0.750419816265809,-0.501240912830304,0.385797636266284,-1.32670426184162,2,22,79,9
"Shoshone","Underdown","Mid.Burned.L.1",6,50,-0.475721371109814,-1.51107470229179,1.55004029666168,-0.221575039801208,0.750419816265809,-0.586593215774293,0.385797636266284,-1.32670426184162,2,22,80,10
"Shoshone","Underdown","Mid.Burned.L.2",0,50,-0.475721371109814,-1.51107470229179,1.62188093506888,-0.221575039801208,0.750419816265809,-0.0318032466383658,0.385797636266284,-1.32670426184162,2,22,81,11
"Shoshone","Underdown","Mid.Burned.L.3",2,50,-0.435933298916719,-1.51107470229179,1.69372157347607,-0.221575039801208,0.750419816265809,-0.799973973134265,0.385797636266284,-1.32670426184162,2,22,82,12
"Shoshone","Underdown","Mid.Burned.M.1",0,50,-0.409240035293505,-1.51107470229179,1.62188093506888,-0.221575039801208,0.750419816265809,-0.45856476135831,0.385797636266284,-1.32670426184162,2,22,83,13
"Shoshone","Underdown","Mid.Burned.M.2",1,50,-0.378013953319176,-1.51107470229179,1.69372157347607,-0.221575039801208,0.750419816265809,-0.287860155470332,0.385797636266284,-1.32670426184162,2,22,84,14
"Shoshone","Underdown","Mid.Burned.M.3",0,50,-0.390101468922142,-1.51107470229179,1.62188093506888,-0.221575039801208,0.750419816265809,-0.373212458414321,0.385797636266284,-1.32670426184162,2,22,85,15
"Shoshone","Underdown","Mid.Control.E.2",0,50,-0.519538615170564,-1.51107470229179,1.69372157347607,-0.221575039801208,0.750419816265809,-0.45856476135831,0.385797636266284,-1.32670426184162,2,22,86,16
"Shoshone","Underdown","Mid.Control.E.3",1,50,-0.547239171760693,-1.51107470229179,1.69372157347607,-0.221575039801208,0.750419816265809,-0.45856476135831,0.385797636266284,-1.32670426184162,2,22,87,17
"Shoshone","Underdown","Mid.Control.L.1",0,50,-0.595589234172557,-1.51107470229179,1.62188093506888,-0.221575039801208,0.750419816265809,-0.159831701054349,0.385797636266284,-1.32670426184162,2,22,88,18
"Shoshone","Underdown","Mid.Control.L.3",5,50,-0.65854504460467,-1.51107470229179,1.47819965825449,-0.221575039801208,0.750419816265809,-0.287860155470332,0.385797636266284,-1.32670426184162,2,22,89,19
"Shoshone","Underdown","Mid.Control.M.1",8,50,-0.64041377120022,-1.51107470229179,1.69372157347607,-0.221575039801208,0.750419816265809,-0.415888609886315,0.385797636266284,-1.32670426184162,2,22,90,20
"Shoshone","Underdown","Mid.Control.M.2",1,50,-0.523064140554763,-1.51107470229179,1.62188093506888,-0.221575039801208,0.750419816265809,-0.202507852526343,0.385797636266284,-1.32670426184162,2,22,91,21
"Shoshone","Underdown","Mid.Control.M.3",10,50,-0.619764265378487,-1.51107470229179,1.62188093506888,-0.221575039801208,0.750419816265809,-0.671945518718282,-0.0102422345118849,-3.47698454088442,2,22,92,22
"Shoshone","Underdown","High.Control.M.1",2,30,0.264638959571827,-1.51107470229179,1.69372157347607,3.75846107011262,-2.5403536588814,-0.45856476135831,1.87756917757122,-0.362266249058538,2,22,56,23
"Shoshone","Underdown","Low.Control.M.2",0,30,-1.25435883453418,-1.51107470229179,1.45425277878542,0.487824698183608,-2.5806631936631,-0.842650124606259,-0.946404442540648,-2.85776552725949,2,22,69,24
"Shoshone","Underdown","Low.Control.M.3",1,30,-1.24630049079887,-1.51107470229179,1.57398717613075,0.487824698183608,-2.5806631936631,-0.799973973134265,-0.946404442540648,-2.85776552725949,2,22,70,25
"Shoshone","Underdown","Mid.Control.E.2",0,30,-0.519538615170564,-1.51107470229179,1.69372157347607,2.03852437137816,-2.60823631991109,-0.45856476135831,0.385797636266284,-1.32670426184162,2,22,86,26
