state,range,canyon or area,point,num_samples_BRTE,BRTEcount,mtype,year,elevation,burned,firstGS,num_samples_grass&forb,igrass,grasscvr,iforb,forbcvr,grazed,wtprecip,spprecip,UTMx (NAD83 zone 11),UTMy (NAD83 zone 11),grazed,prop_grazed
Nevada,Shoshone,Riley,RI05.1,,,point,2004,2483,0,NA,21,,13,,11,,198,108,462019,4334785,,
Nevada,Shoshone,Riley,RI05.2,,,point,2004,2545,0,NA,21,,17,,14,,129,78,462451,4334910,,
Nevada,Toiyabe,Summit,SU01.1,,,point,2004,1989,0,NA,21,,8,,9,,92,58,479257,4313358,,
Nevada,Toiyabe,Summit,SU01.2,,,point,2004,2072,0,NA,21,,11,,12,,92,58,478677,4313528,,
Nevada,Toiyabe,Summit,SU02.1,,,point,2004,2125,0,NA,21,,13,,9,,92,58,478370,4313751,,
Nevada,Toiyabe,Summit,SU02.2,,,point,2004,2146,0,NA,21,,8,,8,,92,58,478226,4313749,,
Nevada,Toiyabe,Summit,SU03.1,,,point,2004,2280,0,NA,21,,2,,3,,92,58,477620,4314075,,
Nevada,Toiyabe,Summit,SU03.2,,,point,2004,2311,0,NA,21,,4,,3,,92,58,477277,4314119,,
Nevada,Toiyabe,Summit,SU04.1,,,point,2004,2350,0,NA,21,,11,,14,,92,58,476898,4314091,,
Nevada,Toiyabe,Summit,SU04.2,,,point,2004,2409,0,NA,15,,6,,11,,203,115,476402,4314164,,
Nevada,Toiyabe,Summit,SU05.1,,,point,2004,2468,0,NA,21,,12,,18,,200,115,476069,4314635,,
Nevada,Toiyabe,Summit,SU05.2,,,point,2004,2523,0,NA,21,,6,,7,,200,115,475934,4314998,,
Nevada,Toiyabe,Summit,SU06.1,,,point,2004,2575,0,NA,21,,10,,9,,200,115,475658,4315078,,
Nevada,Toiyabe,Summit,SU06.2,,,point,2004,2587,0,NA,21,,12,,10,,200,115,475781,4314913,,
Nevada,Toiyabe,Stewart,SW00.1,,,point,2004,2605,0,NA,21,,15,,16,,161,94,467063,4305943,,
Nevada,Toiyabe,Stewart,SW01.1,,,point,2004,2635,0,NA,21,,18,,18,,161,94,467308,4305727,,
Nevada,Toiyabe,Stewart,SW01.2,,,point,2004,2667,0,NA,21,,18,,18,,161,94,467478,4305383,,
Nevada,Toiyabe,Stewart,SW02.1,,,point,2004,2731,0,NA,21,,21,,19,,239,138,467712,4305124,,
Nevada,Toiyabe,Stewart,SW02.2,,,point,2004,2795,0,NA,21,,18,,19,,239,138,467930,4304901,,
Nevada,Toiyabe,Stewart,SW03.1,,,point,2004,2854,0,NA,21,,21,,8,,239,138,468386,4304751,,
Nevada,Toiyabe,Stewart,SW03.2,,,point,2004,2897,0,NA,21,,21,,14,,239,138,468645,4304499,,
Nevada,Toiyabe,Stewart,SW04.1,,,point,2004,2950,0,NA,21,,15,,11,,239,138,468921,4304312,,
Nevada,Toiyabe,Stewart,SW05.1,,,point,2004,3017,0,NA,21,,14,,13,,239,138,469128,4304223,,
Nevada,Toiyabe,Stewart,SW05.2,,,point,2004,3067,0,NA,21,,18,,9,,239,138,469271,4304135,,
Nevada,Toiyabe,Stewart,SW06.1,,,point,2004,3162,0,NA,21,,10,,10,,234,138,469408,4303832,,
Nevada,Toiyabe,Stewart,SW06.2,,,point,2004,3219,0,NA,21,,19,,13,,234,138,469437,4303521,,
Nevada,Shoshone,Underdown,UN01.1,,,point,2004,2027,0,NA,21,,5,,5,,70,50,466955,4334270,,
Nevada,Shoshone,Underdown,UN01.2,,,point,2004,2062,0,NA,21,,10,,5,,70,50,466507,4334325,,
Nevada,Shoshone,Underdown,UN02.1,,,point,2004,2114,0,NA,21,,17,,9,,70,50,465834,4334717,,
Nevada,Shoshone,Underdown,UN02.2,,,point,2004,2147,1,2002,21,,17,,15,,129,78,465345,4334870,,
Nevada,Shoshone,Underdown,UN03.1,,,point,2004,2207,1,2002,21,,11,,12,,129,78,464392,4335151,,
Nevada,Shoshone,Underdown,UN03.2,,,point,2004,2246,1,2005,21,,5,,3,,129,78,463859,4335420,,
Nevada,Shoshone,Underdown,UN04.1,,,point,2004,2296,0,NA,21,,21,,12,,129,78,463046,4335553,,
Nevada,Shoshone,Underdown,UN04.2,,,point,2004,2365,0,NA,21,,16,,6,,198,108,462172,4336062,,
Nevada,Shoshone,Underdown,UN05.1,,,point,2004,2424,0,NA,21,,15,,6,,198,108,461858,4335606,,
