"","perc_pos","perc_neg"
"Elevation",79.425,20.575
"Hillshade",0.05,99.95
"Med. Winter Precip.",100,0
"Med. Winter precip./Total precip.",0,100
"Burned",100,0
"Grazed",100,0
"Perennial grass frequency",0.025,99.975
"Spring precip.",0,100
"Winter precip.",100,0
"Winter precip./Total precip.",0,100
