"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"Elevation",0.0865776084562102,0.00104773872426671,0.0583662626834904,0.0126408057292466,0.0861951896731029,0.161512841729881,3103.25725553453,1.00066424099568
"Hillshade",-0.134344308125873,0.000448245822038305,0.035121582328277,-0.179459140771688,-0.134928946967749,-0.0889721345056085,6139.25463982877,0.999529335047258
"Med. Winter precip.",0.0434577044022041,0.00105227114846747,0.0604368103829764,-0.0342028679270454,0.0430962471851316,0.121244350259527,3298.73741217364,1.00054287491627
"Med. Winter precip./Total precip.",0.00946611042558325,0.000980538287864495,0.06184033695266,-0.0705905477120093,0.00847767847094811,0.0885103284238929,3977.54023438063,0.99941955869756
"Grazed",0.131670089860807,0.000945271462099551,0.0613730808904841,0.053290655307679,0.133542237853896,0.209325814799066,4215.43849307209,1.00018982837478
"Perennial grass frequency",-0.182464443883471,0.000605627289253413,0.0441858516746166,-0.239553756019835,-0.18245895648455,-0.12631019406423,5322.98924494173,0.999747497109661
"Spring precip.",0.00277224145555044,0.000712749676390482,0.0449777364476582,-0.0560004381740414,0.00363693225672939,0.061175487973963,3982.18225746463,1.00085803756197
"Winter precip./Total precip.",-0.161788654224981,0.000627647437546953,0.0391544459130408,-0.212720193371072,-0.16199195288629,-0.111037649326243,3891.6219547309,1.00058478257267
