"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"mu_alpha",0.316929700048309,0.0176010211318344,0.650638535634645,-0.516923291958069,0.323738002319061,1.09375811370289,1366.48174724265,1.00173895645563
"a_Monitor",0.0303967502730434,0.0212787979051253,0.790375032833357,-0.982920499787955,0.0673816257554511,0.957333082411744,1379.6605490255,1.00150848029213
"a_Shoshone",0.59074132560631,0.018189898483552,0.791005049122892,-0.364909592508739,0.561525674504714,1.57791865440667,1891.02800596131,1.00312145744999
"a_Toiyabe",0.314076724935185,0.0175762475066849,0.66517335967525,-0.510939488765541,0.337641176521438,1.09057152031569,1432.24519971506,1.00129325362216
"a_Toquima",0.387493329546513,0.0133015245652629,0.653019122029936,-0.409197291531747,0.399129707100357,1.16362525408769,2410.17709973448,1.00076410870365
