"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"a_Monitor",-1.8765312305093,0.0079037168795361,0.457412544003706,-2.40456420550331,-1.88305339703089,-1.32857016046513,3349.29492250939,1.00115883481242
"a_Shoshone",-1.66398580342289,0.00721821432390753,0.450032432067664,-2.18406739886859,-1.66073384933348,-1.15790289773091,3887.12117713932,0.999935389776513
"a_Toiyabe",-1.78257524557201,0.00659161330604897,0.421843484388679,-2.25538817520817,-1.78238031880193,-1.30941984039318,4095.61615737967,1.00005156605736
"a_Toquima",-1.67534536705478,0.00720077291006209,0.424841310527733,-2.16504157224429,-1.66976212265368,-1.2129843520481,3480.92968046225,0.999767304626016
