"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"a_Monitor",1.52243100782449,0.0144607337664513,0.813565289103883,0.517150823480274,1.55174962830937,2.49404128632572,3165.22189441232,1.00054170913204
"a_Shoshone",1.25581542299171,0.0132554900731682,0.749372745179318,0.374378467177515,1.24933437967019,2.1502873424438,3195.98115413458,0.999896464787813
"a_Toiyabe",1.19177283710461,0.0142402263225992,0.726899695522956,0.31608159237375,1.18446013001997,2.07544558765666,2605.64466735195,1.00054563357937
