"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"a_Monitor",-0.0662576705046403,0.0176279138936715,0.815429502260588,-1.08766098266019,-0.0235933181610162,0.907001482047966,2139.78924059745,1.00094820423945
"a_Shoshone",0.579589567690496,0.015194678851378,0.799872593546037,-0.357170550799466,0.541824390835432,1.58477259368559,2771.14073430546,1.00160047454048
"a_Toiyabe",0.210396230175335,0.0116989411973332,0.683173952781848,-0.640845746850708,0.216170104544007,1.05147426541836,3410.11859869247,1.00107775494856
"a_Toquima",0.367851914003154,0.0104470868716815,0.644816937987927,-0.410843163219911,0.3723533891792,1.14797464267714,3809.6270504292,1.00085860051878
