"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"a_Allison",-0.408776446275054,0.026689956585654,0.728757068059613,-1.3449685962569,-0.409953885578536,0.534757986195865,745.538070072604,1.00222507641268
"a_Antone",0.454325108275606,0.0111709595420977,0.488269833355324,-0.168286006642811,0.456974743005195,1.07245706415676,1910.46386861374,1.00353493728295
"a_Barley",1.02731122538629,0.0197036619667891,0.767720377372841,0.0934182960297257,0.999698352745895,1.99683276774639,1518.14145626432,1.00070839585451
"a_Barrett",1.02731122538629,0.0197036619667891,0.767720377372841,0.0934182960297257,0.999698352745895,1.99683276774639,1518.14145626432,1.00070839585451
"a_Becker",0.327764284127231,0.0135071036073211,0.526296094977066,-0.352107753650605,0.323947297878981,0.990890655218777,1518.22393183782,1.00075349632753
"a_Birch",-0.408776446275054,0.026689956585654,0.728757068059613,-1.3449685962569,-0.409953885578536,0.534757986195865,745.538070072604,1.00222507641268
"a_Charnoc North",-0.408776446275054,0.026689956585654,0.728757068059613,-1.3449685962569,-0.409953885578536,0.534757986195865,745.538070072604,1.00222507641268
"a_Charnoc South",-0.408776446275054,0.026689956585654,0.728757068059613,-1.3449685962569,-0.409953885578536,0.534757986195865,745.538070072604,1.00222507641268
"a_Dobbin East",-0.408776446275054,0.026689956585654,0.728757068059613,-1.3449685962569,-0.409953885578536,0.534757986195865,745.538070072604,1.00222507641268
"a_Dobbin West",-0.408776446275054,0.026689956585654,0.728757068059613,-1.3449685962569,-0.409953885578536,0.534757986195865,745.538070072604,1.00222507641268
"a_Elkhorn",-0.408776446275054,0.026689956585654,0.728757068059613,-1.3449685962569,-0.409953885578536,0.534757986195865,745.538070072604,1.00222507641268
"a_Grass Springs",0.327764284127231,0.0135071036073211,0.526296094977066,-0.352107753650605,0.323947297878981,0.990890655218777,1518.22393183782,1.00075349632753
"a_Jett",1.02731122538629,0.0197036619667891,0.767720377372841,0.0934182960297257,0.999698352745895,1.99683276774639,1518.14145626432,1.00070839585451
"a_Meadow",0.327764284127231,0.0135071036073211,0.526296094977066,-0.352107753650605,0.323947297878981,0.990890655218777,1518.22393183782,1.00075349632753
"a_Moores East",0.454325108275606,0.0111709595420977,0.488269833355324,-0.168286006642811,0.456974743005195,1.07245706415676,1910.46386861374,1.00353493728295
"a_Moores West",0.454325108275606,0.0111709595420977,0.488269833355324,-0.168286006642811,0.456974743005195,1.07245706415676,1910.46386861374,1.00353493728295
"a_Northumberland East",0.454325108275606,0.0111709595420977,0.488269833355324,-0.168286006642811,0.456974743005195,1.07245706415676,1910.46386861374,1.00353493728295
"a_Northumberland West",0.454325108275606,0.0111709595420977,0.488269833355324,-0.168286006642811,0.456974743005195,1.07245706415676,1910.46386861374,1.00353493728295
"a_Ophir",0.454325108275606,0.0111709595420977,0.488269833355324,-0.168286006642811,0.456974743005195,1.07245706415676,1910.46386861374,1.00353493728295
"a_Riley",0.327764284127231,0.0135071036073211,0.526296094977066,-0.352107753650605,0.323947297878981,0.990890655218777,1518.22393183782,1.00075349632753
"a_Ryegrass",1.02731122538629,0.0197036619667891,0.767720377372841,0.0934182960297257,0.999698352745895,1.99683276774639,1518.14145626432,1.00070839585451
"a_San Juan",-0.408776446275054,0.026689956585654,0.728757068059613,-1.3449685962569,-0.409953885578536,0.534757986195865,745.538070072604,1.00222507641268
"a_Stewart",0.327764284127231,0.0135071036073211,0.526296094977066,-0.352107753650605,0.323947297878981,0.990890655218777,1518.22393183782,1.00075349632753
"a_Summit",0.327764284127231,0.0135071036073211,0.526296094977066,-0.352107753650605,0.323947297878981,0.990890655218777,1518.22393183782,1.00075349632753
"a_Underdown",0.327764284127231,0.0135071036073211,0.526296094977066,-0.352107753650605,0.323947297878981,0.990890655218777,1518.22393183782,1.00075349632753
"a_Wall",0.327764284127231,0.0135071036073211,0.526296094977066,-0.352107753650605,0.323947297878981,0.990890655218777,1518.22393183782,1.00075349632753
"a_Wallace",-0.408776446275054,0.026689956585654,0.728757068059613,-1.3449685962569,-0.409953885578536,0.534757986195865,745.538070072604,1.00222507641268
"a_Washington",-0.408776446275054,0.026689956585654,0.728757068059613,-1.3449685962569,-0.409953885578536,0.534757986195865,745.538070072604,1.00222507641268
"a_White Sage",0.327764284127231,0.0135071036073211,0.526296094977066,-0.352107753650605,0.323947297878981,0.990890655218777,1518.22393183782,1.00075349632753
