"","perc_pos","perc_neg"
"Elevation",1.7,98.3
"Hillshade",85.6,14.4
"Winter precip.",38.425,61.575
"Winter precip./Total precip.",2.125,97.875
"Burned",99.95,0.05
"Grazed",93.025,6.975
