"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"a_Monitor",-2.17850818658895,0.010358953001812,0.49963190765538,-2.76324920498579,-2.18258325863781,-1.57780229795387,2326.31545468497,1.00232989479212
"a_Shoshone",-2.07935488223412,0.0126363053897167,0.549896433233294,-2.74381263761939,-2.05826512979612,-1.46506901875561,1893.74534812017,1.0018106938889
"a_Toiyabe",-2.04262334058356,0.0102398960465887,0.45959925028547,-2.57630305592455,-2.02621215387004,-1.55049174724062,2014.50118680436,1.00029432244562
"a_Toquima",-1.93448349759179,0.00926316827792056,0.465157008642439,-2.49295003616578,-1.90352574649836,-1.44100439811117,2521.62226570105,0.999760191669799
