"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"Elevation",-0.461908863309963,0.00495146346510791,0.233296733634034,-0.761454279635211,-0.459335084635043,-0.164476528698602,2219.985607268,1.00111976562389
"Hillshade",0.170670308517993,0.00254450146704936,0.156723720560113,-0.0295121795403258,0.169824193050954,0.366302742248422,3793.70935034776,1.00033042016586
"Winter precip.",-0.0661485025111966,0.00557211779585725,0.228709487879792,-0.349475484708146,-0.0637087355657049,0.221217853407347,1684.72020721582,0.999992136487665
"Winter precip./Total precip.",-0.464551304732434,0.00510752892378219,0.234543833372321,-0.769740738552912,-0.458963936937598,-0.168271775557522,2108.75618071033,1.00150060284562
"Burned",1.63854640789923,0.0100385237272914,0.540913213629536,0.941081572036876,1.6463256111311,2.33784792710951,2903.45755581169,0.999650332007204
"Grazed",0.638328280204613,0.00994390676248101,0.435709333640129,0.0841591783689313,0.63891991241397,1.19768359013569,1919.90455782459,1.00130775763166
