range,area,pt,x,y,Southwestness
Shoshone,Underdown,High.Burned.M.1,462599.05950000000,4335824.41600000000,0.96722298861
Shoshone,Underdown,High.Burned.M.2,462571.14680000000,4335859.39500000000,-0.98730063438
Shoshone,Underdown,High.Burned.M.3,462509.56790000000,4335879.77200000000,0.31372720003
Shoshone,Underdown,High.Control.M.1,462278.07960000000,4335955.90400000000,-0.55183935165
Shoshone,Underdown,High.Control.M.2,462373.38740000000,4335925.59600000000,0.43242475390
Shoshone,Underdown,High.Control.M.3,462422.70540000000,4335870.09600000000,-0.83965796232
Shoshone,Underdown,Low.Burned.M.1,466149.62620000000,4334495.30000000000,0.96491873264
Shoshone,Underdown,Low.Burned.M.2,466173.02650000000,4334492.31600000000,-0.75457912684
Shoshone,Underdown,Low.Burned.M.3,466206.45090000000,4334489.62300000000,-0.03703712299
Shoshone,Underdown,Low.Control.M.1,466555.32510000000,4334284.48800000000,-0.21327319741
Shoshone,Underdown,Low.Control.M.2,466519.58560000000,4334311.71900000000,0.98227262497
Shoshone,Underdown,Low.Control.M.3,466596.04000000000,4334290.30700000000,0.16197361052
Shoshone,Underdown,Mid.Burned.E.1,464131.80620000000,4335260.47900000000,0.87474632263
Shoshone,Underdown,Mid.Burned.E.2,464066.18520000000,4335212.94900000000,0.77011305094
Shoshone,Underdown,Mid.Burned.E.3,464072.58640000000,4335252.42500000000,0.71086645126
Shoshone,Underdown,Mid.Burned.L.1,464284.99190000000,4335188.30300000000,-0.22502963245
Shoshone,Underdown,Mid.Burned.L.2,464283.13170000000,4335234.58900000000,-0.94729250670
Shoshone,Underdown,Mid.Burned.L.3,464219.80790000000,4335215.79000000000,-0.94729250670
Shoshone,Underdown,Mid.Burned.M.1,464176.65770000000,4335263.49200000000,-0.59846007824
Shoshone,Underdown,Mid.Burned.M.2,464111.85470000000,4335223.72500000000,0.56796354055
Shoshone,Underdown,Mid.Burned.M.3,464147.94090000000,4335218.00700000000,0.82921516895
Shoshone,Underdown,Mid.Control.E.1,464787.60300000000,4334780.19200000000,-0.21172001958
Shoshone,Underdown,Mid.Control.E.2,464778.58880000000,4334811.19000000000,-0.99500310421
Shoshone,Underdown,Mid.Control.E.3,464791.93550000000,4334859.63000000000,0.31372720003
Shoshone,Underdown,Mid.Control.L.1,464761.88860000000,4334922.13500000000,0.36731937528
Shoshone,Underdown,Mid.Control.L.2,464787.49350000000,4334966.96700000000,0.71086645126
Shoshone,Underdown,Mid.Control.L.3,464829.50620000000,4334972.88100000000,0.71086645126
Shoshone,Underdown,Mid.Control.M.1,464873.81120000000,4334931.17600000000,-0.87048250437
Shoshone,Underdown,Mid.Control.M.2,464820.64780000000,4334827.20500000000,-0.99507272244
Shoshone,Underdown,Mid.Control.M.3,464608.35950000000,4334978.09000000000,0.36731937528
Monitor,Allison,AL14,544647.00000000000,4347369.00000000000,1.00000000000
Monitor,Allison,AL15,545072.00000000000,4348363.00000000000,0.13804706931
Monitor,Allison,AL16,545895.00000000000,4349257.00000000000,-0.77024728060
Monitor,Allison,AL17,547012.00000000000,4351091.00000000000,-0.94729250670
Monitor,Allison,AL18,547741.00000000000,4351223.00000000000,-0.59846007824
Monitor,Allison,AL19,548712.00000000000,4351888.00000000000,-0.33214539290
Monitor,Allison,AL20,549703.00000000000,4352135.00000000000,0.99207037687
Monitor,Allison,AL21,549951.00000000000,4352294.00000000000,-0.46977254748
Monitor,Allison,AL22,550268.00000000000,4352752.00000000000,-0.94729250670
Toquima,Antone,AN01.1,508271.00000000000,4280080.00000000000,0.64578437805
