,mean,se_mean,sd,10%,50%,90%,n_eff,Rhat
Elevation,0.09,0.00,0.06,0.01,0.09,0.16,2975.31,1.00
Hillshade,-0.13,0.00,0.03,-0.18,-0.13,-0.09,4000.00,1.00
Med. Winter precip.,0.04,0.00,0.06,-0.03,0.04,0.12,4000.00,1.00
Med. Winter precip./Total precip.,0.01,0.00,0.06,-0.07,0.01,0.09,4000.00,1.00
Grazed,0.13,0.00,0.06,0.06,0.13,0.21,4000.00,1.00
Perennial grass frequency,-0.18,0.00,0.04,-0.24,-0.18,-0.13,4000.00,1.00
Spring precip.,0.00,0.00,0.04,-0.05,0.00,0.06,4000.00,1.00
Winter precip./Total precip.,-0.16,0.00,0.04,-0.21,-0.16,-0.11,4000.00,1.00
