range,area,pt,x,y,Hillshade index
Shoshone,Underdown,High.Burned.M.1,462599.05950000000,4335824.41600000000,157
Shoshone,Underdown,High.Burned.M.2,462571.14680000000,4335859.39500000000,201
Shoshone,Underdown,High.Burned.M.3,462509.56790000000,4335879.77200000000,180
Shoshone,Underdown,High.Control.M.1,462278.07960000000,4335955.90400000000,196
Shoshone,Underdown,High.Control.M.2,462373.38740000000,4335925.59600000000,186
Shoshone,Underdown,High.Control.M.3,462422.70540000000,4335870.09600000000,154
Shoshone,Underdown,Low.Burned.M.1,466149.62620000000,4334495.30000000000,158
Shoshone,Underdown,Low.Burned.M.2,466173.02650000000,4334492.31600000000,176
Shoshone,Underdown,Low.Burned.M.3,466206.45090000000,4334489.62300000000,183
Shoshone,Underdown,Low.Control.M.1,466555.32510000000,4334284.48800000000,187
Shoshone,Underdown,Low.Control.M.2,466519.58560000000,4334311.71900000000,187
Shoshone,Underdown,Low.Control.M.3,466596.04000000000,4334290.30700000000,188
Shoshone,Underdown,Mid.Burned.E.1,464131.80620000000,4335260.47900000000,198
Shoshone,Underdown,Mid.Burned.E.2,464066.18520000000,4335212.94900000000,200
Shoshone,Underdown,Mid.Burned.E.3,464072.58640000000,4335252.42500000000,195
Shoshone,Underdown,Mid.Burned.L.1,464284.99190000000,4335188.30300000000,193
Shoshone,Underdown,Mid.Burned.L.2,464283.13170000000,4335234.58900000000,206
Shoshone,Underdown,Mid.Burned.L.3,464219.80790000000,4335215.79000000000,188
Shoshone,Underdown,Mid.Burned.M.1,464176.65770000000,4335263.49200000000,196
Shoshone,Underdown,Mid.Burned.M.2,464111.85470000000,4335223.72500000000,200
Shoshone,Underdown,Mid.Burned.M.3,464147.94090000000,4335218.00700000000,198
Shoshone,Underdown,Mid.Control.E.1,464787.60300000000,4334780.19200000000,198
Shoshone,Underdown,Mid.Control.E.2,464778.58880000000,4334811.19000000000,196
Shoshone,Underdown,Mid.Control.E.3,464791.93550000000,4334859.63000000000,196
Shoshone,Underdown,Mid.Control.L.1,464761.88860000000,4334922.13500000000,203
Shoshone,Underdown,Mid.Control.L.2,464787.49350000000,4334966.96700000000,206
Shoshone,Underdown,Mid.Control.L.3,464829.50620000000,4334972.88100000000,200
Shoshone,Underdown,Mid.Control.M.1,464873.81120000000,4334931.17600000000,197
Shoshone,Underdown,Mid.Control.M.2,464820.64780000000,4334827.20500000000,202
Shoshone,Underdown,Mid.Control.M.3,464608.35950000000,4334978.09000000000,191
Monitor,Allison,AL14,544647.00000000000,4347369.00000000000,225
Monitor,Allison,AL15,545072.00000000000,4348363.00000000000,230
Monitor,Allison,AL16,545895.00000000000,4349257.00000000000,223
Monitor,Allison,AL17,547012.00000000000,4351091.00000000000,214
Monitor,Allison,AL18,547741.00000000000,4351223.00000000000,179
Monitor,Allison,AL19,548712.00000000000,4351888.00000000000,211
Monitor,Allison,AL20,549703.00000000000,4352135.00000000000,206
Monitor,Allison,AL21,549951.00000000000,4352294.00000000000,201
Monitor,Allison,AL22,550268.00000000000,4352752.00000000000,203
Toquima,Antone,AN01.1,508271.00000000000,4280080.00000000000,216
Toquima,Antone,AN01.2,507742.00000000000,4279834.00000000000,204
Toquima,Antone,AN01.3,507392.00000000000,4279847.00000000000,204
Toquima,Antone,AN02.1,506905.00000000000,4279511.00000000000,202
Toquima,Antone,AN02.2,506461.00000000000,4279457.00000000000,208
Toquima,Antone,AN03.1,505591.00000000000,4279341.00000000000,193
Toquima,Antone,AN03.2,505178.00000000000,4279056.00000000000,188
Toquima,Antone,AN04.1,504693.00000000000,4278945.00000000000,158
Shoshone,Barrett,BA01.1,457842.00000000000,4326960.00000000000,210
Shoshone,Barrett,BA01.2,457435.00000000000,4327193.00000000000,219
Shoshone,Barrett,BA02.1,456127.00000000000,4327497.00000000000,219
Shoshone,Barrett,BA02.2,455870.00000000000,4327620.00000000000,199
Shoshone,Barrett,BA03.1,454833.00000000000,4327629.00000000000,209
Shoshone,Barrett,BA03.2,454493.00000000000,4327634.00000000000,205
Shoshone,Barrett,BA04.1,453911.00000000000,4327755.00000000000,233
Shoshone,Barrett,BA04.2,453813.00000000000,4327895.00000000000,179
Shoshone,Barrett,BA05.1,453507.00000000000,4328236.00000000000,196
Shoshone,Barrett,BA05.2,453312.00000000000,4328349.00000000000,196
Shoshone,Barrett,BA06.1,453038.00000000000,4328612.00000000000,155
Shoshone,Barrett,BA06.2,452941.00000000000,4328666.00000000000,153
Shoshone,Becker,BE01.1,459535.00000000000,4327971.00000000000,163
Shoshone,Becker,BE01.2,459363.00000000000,4328408.00000000000,197
Shoshone,Becker,BE02.1,459244.00000000000,4329392.00000000000,187
Shoshone,Becker,BE02.2,459307.00000000000,4329527.00000000000,228
Shoshone,Becker,BE03.1,459789.00000000000,4330635.00000000000,191
Shoshone,Becker,BE03.2,459844.00000000000,4330725.00000000000,154
Toiyabe,Birch,BI01.1,498887.00000000000,4358987.00000000000,197
Toiyabe,Birch,BI01.2,498570.00000000000,4359048.00000000000,229
Toiyabe,Birch,BI02.1,497584.00000000000,4359812.00000000000,216
Toiyabe,Birch,BI02.2,497212.00000000000,4360036.00000000000,111
Toiyabe,Birch,BI03.1,497171.00000000000,4360414.00000000000,252
Toiyabe,Birch,BI03.2,496976.00000000000,4360740.00000000000,227
Toiyabe,Birch,BI03.3,496572.00000000000,4361012.00000000000,221
Toiyabe,Birch,BI04.1,496016.00000000000,4362190.00000000000,234
Toiyabe,Birch,BI04.2,495899.00000000000,4362638.00000000000,239
Toiyabe,Birch,BI04.3,496025.00000000000,4363900.00000000000,208
Toiyabe,Birch,BI05.1,496070.00000000000,4364329.00000000000,243
Toiyabe,Birch,BI05.2,495912.00000000000,4364636.00000000000,191
Toiyabe,Birch,BI06.1,495419.00000000000,4364918.00000000000,197
Toiyabe,Birch,BI06.2,495236.00000000000,4365279.00000000000,214
Toiyabe,Birch,BI07.1,495466.00000000000,4365710.00000000000,237
Toiyabe,Birch,BI07.2,495570.00000000000,4366063.00000000000,185
Toiyabe,Birch,BI0B1,499898.00000000000,4358107.00000000000,206
Toiyabe,Birch,BI0B2,499642.00000000000,4358265.00000000000,205
Toiyabe,Birch,BI0B3,499332.00000000000,4358458.00000000000,208
Toiyabe,Birch,BI0B4,499077.00000000000,4358851.00000000000,227
Toiyabe,Birch,BISG01,499415.00000000000,4358456.00000000000,220
Toiyabe,Birch,BISG02,499499.00000000000,4358407.00000000000,234
Toiyabe,Birch,BISG03,499618.00000000000,4358276.00000000000,205
Toiyabe,Birch,BISG04,499704.00000000000,4358234.00000000000,188
Toiyabe,Birch,BISG05,499786.00000000000,4358187.00000000000,215
Toiyabe,Birch,BISG06,499869.00000000000,4358135.00000000000,206
Toiyabe,Birch,BISG07,499925.00000000000,4358107.00000000000,204
Toiyabe,Birch,BISG08,500026.00000000000,4358096.00000000000,206
Monitor,Barley,BL01,526371.00000000000,4274731.00000000000,214
Monitor,Barley,BL02,526460.00000000000,4275079.00000000000,247
Monitor,Barley,BL03,526524.00000000000,4275434.00000000000,210
Monitor,Barley,BL04,527520.00000000000,4275949.00000000000,214
Monitor,Barley,BL05,527839.00000000000,4276098.00000000000,218
Monitor,Barley,BL06,528178.00000000000,4276244.00000000000,215
Monitor,Barley,BL07,528540.00000000000,4276183.00000000000,217
Monitor,Barley,BL08,529291.00000000000,4276396.00000000000,221
Monitor,Barley,BL09,529636.00000000000,4276547.00000000000,220
Monitor,Barley,BL10,530218.00000000000,4277084.00000000000,209
Monitor,Barley,BL11,530677.00000000000,4277376.00000000000,205
Monitor,Barley,BL12,531363.00000000000,4278415.00000000000,229
Monitor,Barley,BL13,531457.00000000000,4278622.00000000000,178
Monitor,Barley,BL14,531603.00000000000,4278935.00000000000,222
Monitor,Barley,BL15,531506.00000000000,4279427.00000000000,246
Monitor,Barley,BL16,531518.00000000000,4279788.00000000000,190
Monitor,Charnoc North,CBN01,546194.00000000000,4349269.00000000000,212
Monitor,Charnoc North,CBN02,546476.00000000000,4349215.00000000000,245
Monitor,Charnoc North,CBN04,546131.00000000000,4350086.00000000000,226
Monitor,Charnoc North,CBN05,546053.00000000000,4349771.00000000000,231
Monitor,Charnoc North,CBNSG01,546077.00000000000,4349281.00000000000,225
Monitor,Charnoc North,CBNSG02,546176.00000000000,4349266.00000000000,212
Monitor,Charnoc North,CBNSG03,546070.00000000000,4349248.00000000000,220
Monitor,Charnoc North,CBNSG04,546169.00000000000,4349237.00000000000,212
Monitor,Charnoc North,CBNSG05,546221.00000000000,4349275.00000000000,211
Monitor,Charnoc North,CBNSG06,546311.00000000000,4349239.00000000000,209
Monitor,Charnoc North,CBNSG07,546221.00000000000,4349242.00000000000,209
Monitor,Charnoc North,CBNSG08,546312.00000000000,4349205.00000000000,197
Monitor,Charnoc North,CBNSG09,546120.00000000000,4350090.00000000000,226
Monitor,Charnoc North,CBNSG10,546108.00000000000,4349991.00000000000,230
Monitor,Charnoc North,CBNSG11,546083.00000000000,4350089.00000000000,223
Monitor,Charnoc North,CBNSG12,546079.00000000000,4349994.00000000000,219
Monitor,Charnoc North,CBNSG13,546054.00000000000,4349785.00000000000,231
Monitor,Charnoc North,CBNSG14,546035.00000000000,4349684.00000000000,235
Monitor,Charnoc North,CBNSG15,546048.00000000000,4349787.00000000000,231
Monitor,Charnoc North,CBNSG16,546022.00000000000,4349688.00000000000,233
Monitor,Charnoc South,CBS01,545790.00000000000,4345796.00000000000,202
Monitor,Charnoc South,CBS02,545551.00000000000,4345989.00000000000,201
Monitor,Charnoc South,CBS03,545275.00000000000,4346025.00000000000,208
Monitor,Charnoc South,CBS04,545075.00000000000,4346243.00000000000,211
Monitor,Charnoc South,CBS05,544990.00000000000,4346534.00000000000,190
Monitor,Charnoc South,CBSSG01,545790.00000000000,4345796.00000000000,202
Monitor,Charnoc South,CBSSG02,545720.00000000000,4345865.00000000000,191
Monitor,Charnoc South,CBSSG03,545769.00000000000,4345787.00000000000,194
Monitor,Charnoc South,CBSSG04,545692.00000000000,4345851.00000000000,193
Monitor,Charnoc South,CBSSG05,545686.00000000000,4345898.00000000000,197
Monitor,Charnoc South,CBSSG06,545606.00000000000,4345967.00000000000,191
Monitor,Charnoc South,CBSSG07,545681.00000000000,4345895.00000000000,197
Monitor,Charnoc South,CBSSG08,545608.00000000000,4345956.00000000000,193
Monitor,Charnoc South,CBSSG09,545553.00000000000,4345981.00000000000,201
Monitor,Charnoc South,CBSSG10,545475.00000000000,4346035.00000000000,217
Monitor,Charnoc South,CBSSG11,545565.00000000000,4346000.00000000000,196
Monitor,Charnoc South,CBSSG12,545485.00000000000,4346054.00000000000,215
Monitor,Charnoc South,CBSSG13,545077.00000000000,4346261.00000000000,211
Monitor,Charnoc South,CBSSG14,545099.00000000000,4346352.00000000000,205
Monitor,Charnoc South,CBSSG15,545098.00000000000,4346257.00000000000,208
Monitor,Charnoc South,CBSSG16,545119.00000000000,4346352.00000000000,205
Monitor,Dobbin East,DE05.1,542202.00000000000,4310091.00000000000,237
Monitor,Dobbin East,DE05.2,542034.00000000000,4309778.00000000000,220
Monitor,Dobbin East,DE05.3,542287.00000000000,4309074.00000000000,238
Monitor,Dobbin East,DE06.1,542619.00000000000,4308317.00000000000,233
Monitor,Dobbin East,DE06.2,543285.00000000000,4307564.00000000000,186
Monitor,Dobbin East,DE06.3,544055.00000000000,4306636.00000000000,237
Monitor,Dobbin East,DE07.1,544410.00000000000,4306641.00000000000,194
Monitor,Dobbin East,DE07.2,544812.00000000000,4306347.00000000000,221
Monitor,Dobbin East,DE07.3,544582.00000000000,4305903.00000000000,216
Monitor,Dobbin West,DW01.1,537501.00000000000,4315491.00000000000,216
Monitor,Dobbin West,DW01.2,538162.00000000000,4314128.00000000000,199
Monitor,Dobbin West,DW02.1,538838.00000000000,4313180.00000000000,216
Monitor,Dobbin West,DW02.2,539670.00000000000,4312535.00000000000,200
Monitor,Dobbin West,DW03.1,539960.00000000000,4312319.00000000000,235
Monitor,Dobbin West,DW03.2,540419.00000000000,4312155.00000000000,196
Monitor,Dobbin West,DW03.3,541818.00000000000,4311882.00000000000,226
Monitor,Dobbin West,DW04.1,542293.00000000000,4310862.00000000000,224
Monitor,Dobbin West,DW04.2,542325.00000000000,4310390.00000000000,221
Monitor,Elkhorn,EH01,530390.00000000000,4271303.00000000000,202
Monitor,Elkhorn,EH02,530128.00000000000,4271033.00000000000,215
Monitor,Elkhorn,EH03,530010.00000000000,4271331.00000000000,180
