state,range,canyon or area,point,num_samples_BRTE,BRTEcount,mtype,year,elevation,burned,firstGS,num_samples_grass&forb,igrass,grasscvr,iforb,forbcvr,wtprecip,spprecip,UTMx (NAD83 zone 11),UTMy (NAD83 zone 11),grazed.1,prop_grazed
Nevada,Monitor,Barley,BL06,10,0,point,2015,2256,0,NA,,,,,,113,109,528178,4276244,,
Nevada,Monitor,Barley,BL07,10,0,point,2015,2258,0,NA,,,,,,113,109,528540,4276183,,
Nevada,Monitor,Barley,BL08,10,1,point,2015,2275,0,NA,,,,,,113,109,529291,4276396,,
Nevada,Monitor,Barley,BL09,10,2,point,2015,2283,0,NA,,,,,,113,109,529636,4276547,,
Nevada,Monitor,Barley,BL10,10,0,point,2015,2309,0,NA,,,,,,113,109,530218,4277084,,
Nevada,Monitor,Barley,BL11,10,0,point,2015,2318,0,NA,,,,,,113,109,530677,4277376,,
Nevada,Monitor,Barley,BL12,10,0,point,2015,2345,0,NA,,,,,,152,126,531363,4278415,,
Nevada,Monitor,Barley,BL13,10,2,point,2015,2359,0,NA,,,,,,152,126,531457,4278622,,
Nevada,Monitor,Barley,BL14,10,0,point,2015,2376,0,NA,,,,,,152,126,531603,4278935,,
Nevada,Monitor,Barley,BL15,10,0,point,2015,2389,0,NA,,,,,,152,126,531506,4279427,,
Nevada,Monitor,Barley,BL16,10,0,point,2015,2398,0,NA,,,,,,152,126,531518,4279788,,
Nevada,Monitor,Charnoc North,CBN01,10,0,point,2015,2422,0,NA,,,,,,79,108,546194,4349269,,
Nevada,Monitor,Charnoc North,CBN02,10,0,point,2015,2457,0,NA,,,,,,79,108,546476,4349215,,
Nevada,Monitor,Charnoc North,CBN04,10,0,point,2015,2425,0,NA,,,,,,79,108,546131,4350086,,
Nevada,Monitor,Charnoc North,CBN05,10,0,point,2015,2413,0,NA,,,,,,79,108,546053,4349771,,
Nevada,Monitor,Charnoc South,CBS01,10,0,point,2015,2341,0,NA,,,,,,76,103,545790,4345796,,
Nevada,Monitor,Charnoc South,CBS02,10,0,point,2015,2339,0,NA,,,,,,76,103,545551,4345989,,
Nevada,Monitor,Charnoc South,CBS03,10,0,point,2015,2328,0,NA,,,,,,76,103,545275,4346025,,
Nevada,Monitor,Charnoc South,CBS04,10,0,point,2015,2330,0,NA,,,,,,76,103,545075,4346243,,
Nevada,Monitor,Charnoc South,CBS05,10,0,point,2015,2336,0,NA,,,,,,76,103,544990,4346534,,
Nevada,Monitor,Dobbin East,DE05.1,10,0,point,2015,2640,0,NA,,,,,,137,129,542202,4310091,,
Nevada,Monitor,Dobbin East,DE05.2,10,0,point,2015,2614,0,NA,,,,,,113,116,542034,4309778,,
Nevada,Monitor,Dobbin East,DE05.3,10,5,point,2015,2546,0,NA,,,,,,113,116,542287,4309074,,
Nevada,Monitor,Dobbin East,DE06.1,10,3,point,2015,2486,0,NA,,,,,,113,116,542619,4308317,,
Nevada,Monitor,Dobbin East,DE06.2,10,0,point,2015,2437,0,NA,,,,,,113,116,543285,4307564,,
Nevada,Monitor,Dobbin East,DE06.3,10,0,point,2015,2375,0,NA,,,,,,113,116,544055,4306636,,
Nevada,Monitor,Dobbin East,DE07.1,10,0,point,2015,2334,0,NA,,,,,,113,116,544410,4306641,,
Nevada,Monitor,Dobbin East,DE07.2,10,0,point,2015,2279,0,NA,,,,,,113,116,544812,4306347,,
Nevada,Monitor,Dobbin East,DE07.3,10,0,point,2015,2283,0,NA,,,,,,113,116,544582,4305903,,
Nevada,Monitor,Dobbin West,DW01.1,10,0,point,2015,2258,0,NA,,,,,,56,90,537501,4315491,,
Nevada,Monitor,Dobbin West,DW01.2,10,0,point,2015,2311,0,NA,,,,,,89,105,538162,4314128,,
Nevada,Monitor,Dobbin West,DW02.1,10,0,point,2015,2356,0,NA,,,,,,89,105,538838,4313180,,
Nevada,Monitor,Dobbin West,DW02.2,10,0,point,2015,2394,0,NA,,,,,,89,105,539670,4312535,,
Nevada,Monitor,Dobbin West,DW03.1,10,0,point,2015,2416,0,NA,,,,,,89,105,539960,4312319,,
Nevada,Monitor,Dobbin West,DW03.2,10,0,point,2015,2438,0,NA,,,,,,89,105,540419,4312155,,
Nevada,Monitor,Dobbin West,DW03.3,10,0,point,2015,2480,0,NA,,,,,,137,129,541818,4311882,,
Nevada,Monitor,Dobbin West,DW04.1,10,0,point,2015,2568,0,NA,,,,,,137,129,542293,4310862,,
Nevada,Monitor,Dobbin West,DW04.2,10,0,point,2015,2611,0,NA,,,,,,137,129,542325,4310390,,
Nevada,Monitor,Elkhorn,EH01,31,31,point,2015,2275,1,2009,21,,4,,10,101,108,530390,4271303,,
Nevada,Monitor,Elkhorn,EH02,31,30,point,2015,2318,1,2009,21,,2,,6,101,108,530128,4271033,,
Nevada,Monitor,Elkhorn,EH03,31,30,point,2015,2334,1,2009,21,,2,,6,101,108,530010,4271331,,
Nevada,Monitor,Elkhorn,EH04,31,26,point,2015,2351,1,2009,21,,4,,11,101,108,530210,4271544,,
Nevada,Toiyabe,Grass Springs,GS01,31,30,point,2015,2179,1,2006,21,12,5,9,8,87,105,498568,4370386,,
Nevada,Toiyabe,Grass Springs,GS02,21,22,point,2015,2134,1,2006,21,12,14,6,5,87,105,498766,4370378,,
Nevada,Toiyabe,Grass Springs,GS03,31,30,point,2015,2085,1,2006,21,2,8,6,3,87,105,499376,4370360,,
Nevada,Toiyabe,Grass Springs,GS04,31,30,point,2015,2079,1,2006,21,0,7,0,4,87,105,499391,4370537,,
Nevada,Toiyabe,Grass Springs,GS05,31,29,point,2015,2087,1,2006,21,16,9,19,2,87,105,499165,4370619,,
Nevada,Toiyabe,Grass Springs,GS06,31,31,point,2015,2108,1,2006,21,12,1,19,0,87,105,498953,4370678,,
Nevada,Toiyabe,Grass Springs,GS07,21,15,point,2015,2145,1,2006,21,11,9,0,5,87,105,498729,4370665,,
Nevada,Toiyabe,Grass Springs,GS08,21,19,point,2015,2129,1,2006,21,16,8,13,4,87,105,498840,4370884,,
Nevada,Toiyabe,Grass Springs,GS09,31,30,point,2015,2078,1,2006,21,6,1,6,1,87,105,499234,4371042,,
Nevada,Toiyabe,Grass Springs,GS10,31,30,point,2015,2062,1,2006,21,6,4,19,4,87,105,499449,4370812,,
Nevada,Toquima,Meadow,MD01.1,10,0,point,2015,2259,0,NA,,,,,,104,114,512295,4277782,,
Nevada,Toquima,Meadow,MD01.2,10,0,point,2015,2273,0,NA,,,,,,104,114,511844,4278222,,
Nevada,Toquima,Meadow,MD01.3,10,0,point,2015,2302,0,NA,,,,,,104,114,511062,4279066,,
Nevada,Toquima,Meadow,MD02.1,10,0,point,2015,2342,0,NA,,,,,,104,114,510018,4280073,,
Nevada,Toquima,Meadow,MD02.2,10,0,point,2015,2368,0,NA,,,,,,104,114,509176,4280604,,
Nevada,Toquima,Meadow,MD02.3,10,0,point,2015,2384,0,NA,,,,,,129,135,508562,4281002,,
Nevada,Toquima,Meadow,MD03.1,10,0,point,2015,2447,0,NA,,,,,,140,141,507148,4282357,,
Nevada,Toquima,Meadow,MD03.2,10,0,point,2015,2495,0,NA,,,,,,140,141,506561,4282170,,
Nevada,Toquima,Meadow,MD04.1,10,0,point,2015,2577,0,NA,,,,,,129,135,505955,4281915,,
